timestamp,domain,site,device,device_type,device_model,severity,event_type,metric_name,metric_value,user,src_ip,dest_ip,policy,status,bandwidth_mbps,bandwidth_util_pct,health_score,users_connected,ssid,circuit_id,description
1711324800,campus,HQ-Building-A,HQ-CORE-9606R-01,router,C9606R,6,syslog,cpu_util,42,,,,,healthy,10000,38,92,,,WAN-MPLS-01,Core router operating normally
1711324800,campus,HQ-Building-A,HQ-DIST-9410-01,switch,C9410,6,syslog,cpu_util,35,,,,,healthy,10000,22,95,,,,,Distribution switch stable
1711324800,campus,HQ-Building-A,HQ-ACC-9300-01,switch,C9300,4,syslog,port_flap,1,,,,3 ports flapping,degraded,1000,67,78,,,,"Access switch port instability on Gi1/0/12, Gi1/0/15, Gi1/0/22"
1711324800,campus,HQ-Building-A,HQ-ACC-9300-02,switch,C9300,6,syslog,cpu_util,28,,,,,healthy,1000,45,88,,,,Access switch stable
1711324800,campus,HQ-Building-A,HQ-ACC-9300X-01,switch,C9300X,3,syslog,duplex_mismatch,1,,,,duplex mismatch detected,critical,1000,89,62,,,,"Duplex mismatch on Gi1/0/8 — connected to IP phone"
1711324800,campus,HQ-Building-A,HQ-9500-AGG-01,switch,C9500,6,syslog,cpu_util,31,,,,,healthy,10000,41,91,,,,Aggregation switch stable
1711324800,campus,Branch-Dallas,DAL-9300-01,switch,C9300,3,syslog,high_cpu,92,,,,CPU threshold exceeded,critical,1000,78,41,,,,"CPU at 92% — possible STP reconvergence"
1711324800,campus,Branch-Dallas,DAL-9300-02,switch,C9300,4,syslog,err_disabled,2,,,,2 ports err-disabled,degraded,1000,55,68,,,,"Err-disabled on Gi1/0/3, Gi1/0/19 — BPDU guard"
1711324800,campus,Branch-Chicago,CHI-9300-01,switch,C9300,6,syslog,cpu_util,22,,,,,healthy,1000,31,94,,,,Branch switch operating normally
1711324800,campus,Branch-Chicago,CHI-IE3300-01,switch,IE3300,4,syslog,temp_alarm,68,,,,temperature elevated,degraded,100,12,71,,,,"Industrial switch temp 68C — above threshold"
1711324800,campus,Branch-Atlanta,ATL-9300-01,switch,C9300,6,syslog,cpu_util,19,,,,,healthy,1000,28,96,,,,Branch switch stable
1711324800,wireless,HQ-Building-A,HQ-9800M-01,wlc,C9800M,4,wireless,client_failures,23,,,,assoc failures,degraded,,,82,847,Corp-SSID,,23 association failures in last hour
1711324800,wireless,HQ-Building-A,HQ-AP-9166-FL1,ap,C9166,6,wireless,clients_connected,142,,,,normal,,,91,142,Corp-SSID,,"Floor 1 — 142 clients, operating normally"
1711324800,wireless,HQ-Building-A,HQ-AP-9166-FL2,ap,C9166,3,wireless,channel_utilization,94,,,,high utilization,critical,,,48,203,Corp-SSID,,"Floor 2 — channel util 94%, severe co-channel interference"
1711324800,wireless,HQ-Building-A,HQ-AP-9166-FL3,ap,C9166,6,wireless,clients_connected,98,,,,normal,,,88,98,Guest-SSID,,Floor 3 — 98 clients
1711324800,wireless,Branch-Dallas,DAL-AP-9166-01,ap,C9166,4,wireless,clients_connected,67,,,,degraded,,,72,67,Corp-SSID,,Dallas AP — higher than expected client count
1711324800,wireless,Branch-Chicago,CHI-AP-9166-01,ap,C9166,6,wireless,clients_connected,45,,,,normal,,,90,45,Corp-SSID,,Chicago AP stable
1711324800,datacenter,DC-East,DC-NEXUS-9332D-01,switch,N9332D,4,syslog,congestion,78,,,,fabric congestion,degraded,100000,82,75,,,,"Spine congestion on Eth1/1-4 — burst traffic from compute rack"
1711324800,datacenter,DC-East,DC-NEXUS-93180-01,switch,N93180YC,6,syslog,cpu_util,28,,,,,healthy,100000,35,92,,,,Leaf switch operating normally
1711324800,datacenter,DC-East,DC-NEXUS-93180-02,switch,N93180YC,3,syslog,bgp_neighbor_down,1,,,,BGP peer down,critical,100000,15,38,,,,"BGP neighbor 10.250.1.2 DOWN — hold timer expired"
1711324800,datacenter,DC-East,DC-UCS-01,compute,UCS-C240,4,compute,mem_util,91,,,,,degraded,,,68,,,,"Memory utilization 91% on UCS blade 3 — Nutanix CVM pressure"
1711324800,datacenter,DC-East,NEXUS-DASHBOARD,controller,ND,4,anomaly,flow_anomaly,3,,,,3 anomalies detected,degraded,,,65,,,,"3 active anomalies: unusual east-west traffic pattern between VRFs"
1711324800,security,HQ-Building-A,HQ-FPR3100-01,firewall,FPR3100,3,intrusion,blocked_connections,847,,10.1.50.22,198.51.100.44,,blocked,,,,,,,847 connection attempts to known C2 server blocked
